0, 80, 31.5
20, 73.04, 31.9
40, 69.57, 31.9
60, 67.00, 31.8
80, 65.67, 31.7
100, 64.00, 31.6
120, 62.20, 31.4
140, 60.60, 31.3
160, 58.84, 31.3
180, 57.20, 30.9
200, 55.74, 30.8
220, 54.24, 30.6
240, 51.4, 30.5
260, 51.02, 30.3
280, 49.95, 30.2
300, 48.64, 30.0
320, 47.34, 29.8
340, 46.12, 29.7
360, 44.93, 29.6
380, 43.60, 29.4
400, 42.52, 29.3
420, 41.42, 29.2
440, 40.35, 29.1
460, 39.31, 29.0
480, 38.34, 28.8
500, 37.29, 28.7
